lob,lob명,청구항목id,청구항목명,단위서비스id,단위서비스명,요금유형코드,기준월,회선수,신규회선수,해지회선수,요청금액,할인금액,청구금액,ARPU,할인율,성장률,계절성_요인,출시월,서비스개월수
BC,방송서비스,BI0063,스마트가로등 서비스 3,US0063,LIGHT003,R002,2025-01,648,51,21,2319574,106369,2021029,3283.02,5.0,0.0,0.85,2025-01,1
BC,방송서비스,BI0064,스마트가로등 서비스 4,US0064,LIGHT004,R004,2025-01,844,48,25,3268639,163007,3097150,3862.75,5.0,0.0,0.85,2025-01,1
BC,방송서비스,BI0069,대기질 모니터링 4,US0069,AIR004,R006,2025-01,180,13,7,1232847,58898,1119077,6544.31,5.0,0.0,0.85,2025-01,1
BC,방송서비스,BI0070,대기질 모니터링 5,US0070,AIR005,R004,2025-01,145,8,6,1116391,51364,975934,7084.81,5.0,0.0,0.85,2025-01,1
BC,방송서비스,BI0075,교통정보 서비스 5,US0075,TRAFFIC005,R008,2025-01,478,20,20,2279987,112598,2139375,4711.24,5.0,0.0,0.85,2025-01,1
BC,방송서비스,BI0076,스마트 쓰레기통 1,US0076,WASTE001,R005,2025-01,286,9,13,1210347,55366,1051965,3871.79,5.0,0.0,0.85,2025-01,1
BC,방송서비스,BI0081,원격진료 서비스 1,US0081,HEALTH001,R007,2025-01,146,6,1,4278308,206859,3930328,28336.9,5.0,0.0,0.85,2025-01,1
BC,방송서비스,BI0089,건강모니터링 서비스 4,US0089,VITAL004,R002,2025-01,116,6,4,3000066,139137,2643603,23989.14,5.0,0.0,0.85,2025-01,1
BC,방송서비스,BI0098,복약알림 서비스 3,US0098,MEDICINE003,R007,2025-01,208,11,4,1550983,72522,1377935,6973.35,5.0,0.0,0.85,2025-01,1
BC,방송서비스,BI0102,모바일 결제 서비스 2,US0102,PAY002,R002,2025-01,1536,85,48,16746306,785344,14921555,10225.85,5.0,0.0,0.85,2025-01,1
BC,방송서비스,BI0103,모바일 결제 서비스 3,US0103,PAY003,R002,2025-01,1683,58,29,17164742,790318,15016054,9391.78,5.0,0.0,0.85,2025-01,1
BC,방송서비스,BI0113,디지털 신원증명 3,US0113,ID003,R005,2025-01,112,5,2,2003700,97729,1856868,17451.76,5.0,0.0,0.85,2025-01,1
BC,방송서비스,BI0114,디지털 신원증명 4,US0114,ID004,R008,2025-01,111,7,3,1588241,78446,1490489,14134.56,5.0,0.0,0.85,2025-01,1
BC,방송서비스,BI0125,스트리밍 최적화 5,US0125,STREAM005,R007,2025-01,1109,38,22,43112764,1978095,37583810,35673.49,5.0,0.0,0.85,2025-01,1
BC,방송서비스,BI0126,VR/AR 서비스 1,US0126,VR001,R006,2025-01,228,9,7,12020588,574509,10915674,50395.54,5.0,0.0,0.85,2025-01,1
